awadadwę́:deht	‘it (e.g. a pet) forfeited (its life)’	[a-w-adad-wę́:deht]	factual-it.a-reflexive-forfeit-ø.punctual
ęhsade̲ˀsgǫ́:dęˀ	'you will roast something'	[ę-hs-ade̲-ˀsg-ǫ́:dę-ˀ]	future-you(one).a-semireflexive-joinerE-roast-put.in-punctual
ahadadéˀo:k	‘he axed himself’	[a-h-adad-é-ˀo:k]	factual-he.a-reflexive-joinerE-axe-ø.punctual
ǫdéteˀtra:s	'she is powdering herself'	[ǫ-d-é-teˀt-ra:s]	she.a-semireflexive-joinerE-powder-spread-ø.punctual
ǫdade̲ˀgę́:ˀęh	‘her younger sister’	[ǫ-dad-e̲-ˀgę́:ˀęh]	she.a-reflexive-joinerE-younger.sister.stative
ǫdǫ́:nyeˀs	'she is breathing'	[ǫ-d-ǫ́:nye-ˀs]	she.a-semireflexive-breathe-habitual
aˀǫdadahǫ́:dǫ:ˀ	‘she asked her’	[aˀ-ǫ-dad-ahǫ́:dǫ:-ˀ]	factual-she.a-reflexive-ask-punctual
sagyaˀdo̲hái	'take a bath'	[s-ag-yaˀd-o̲hái]	you(one).a-reflexive-body-wash-ø.aspect
ęhsadagyé:na:ˀ	‘you will wrestle’	[ę-hs-adag-yé:na:-ˀ]	future-you(one).a-reflexive-catch-punctual
satgǫhso̲hái	'wash your face'	[s-at-gǫhs-o̲hái]	you(one).a-semireflexive-face-wash-ø.aspect
agadadé:gęˀ	‘I saw myself’	[a-g-ádat-gę-ˀ], [a-g-adad-é:-gę-ˀ]	factual-I.a-reflexive-joinerE-see-punctual
agadadé:gęˀ	'I saw myself'	[a-g-adad-é:-gę-ˀ]	factual-I.a-reflexive-joinerE-see-punctual
agé:gęˀ	'I saw (it)'	[a-g-é-gę-ˀ]	factual-I.a-joinerE-see-punctual
ahé:gęˀ	'I saw him'	[a-hé:-gę-ˀ]	factual-I:him-see-punctual
dedwadagyénawaˀs	'let us all help one another'	[de-dw-adag-yénawaˀs-ø]	dualic-we.all-reflexive-help-ø.aspect
dwayénawaˀs	'let all of us help (it)'	[dwa-yénawaˀs-ø]	we.all-help-ø.aspect
dędwadathró:wiˀ	'we all will tell one another'	[d-ę-dw-adat-hró:wi-ˀ]	dual-future-we.all.inclusive.a-reflexive-tell-punctual
ędwa:thró:wiˀ	'we all will tell'	[ę-dw-a:t-hró:wi-ˀ]	future-we.all.inclusive.a-semireflexive-tell-punctual
dęgaǫdagyená:waˀs	'they (f/m) will help each other'	[d-ę-gaǫ-dag-yená:waˀs-ø]	dualic-future-they(fe/males).a-reflexive-help-ø.punctual
ęgǫyená:waˀs	'I will help you'	[ę-gǫ-yená:waˀs-ø]	future-i:you-help-ø.punctual
degaǫdatgǫ̲hsóhae	'they are washing each other's faces'	[de-gaǫ-dat-gǫ̲hs-óhae]	dual-they(fe/males).a-reflexive-face-wash.stative
shagogǫ̲hsóhae	'he is washing her face'	[shago-gǫ̲hs-óhae]	he:her-face-wash.stative
agaeyé:na:ˀ	'they caught, received, accepted it'	[a-gae-yé:na:-ˀ]	factual-they(fe/males).a-catch-punctual
wadatgowá:nęh	'it is rash, unwise, self-important, egotistical'	[w-adat-gowá:n-ęh]	it.a-reflexive-big-stative
hadágya̲ˀda:s	'he has a high opinion of himself, he is self-centred, he is bold'	[ha-dág-ya̲ˀda:-s]	he.a-reflexive-rely.on-habitual
wadatnigǫ́ha:ˀ	'it is wary, cautious'	[w-adat-ˀnigǫ́ha:ˀ]	it.a-reflexive-watch.habitual
tęwadadǫ́:niˀ	'it will emerge or appear unintentionally'; 'it will do it by itself'	[t-h-ę-w-adad-ǫ́:ni-ˀ]	contrastive-translocative-future-it.a-reflexive-make-punctual
dęsádadǫˀ	'you will trade, exchange'	[d-ę-s-ádad-ǫ-ˀ]	dualic-future-you(one).a-reflexive-give-punctual
desadadéhsnyeh	'tidy up!’ ‘groom yourself!'	[de-s-adad-é-hsnye-h]	dualic-you(one).a-reflexive-joinerE-care.for-ø.aspect
ęhsadagyé:na:ˀ	'you will wrestle'	[ę-hs-adag-yé:na:-ˀ]	future-you(one).a-reflexive-catch-punctual
dęhsádatsˀa:ˀ	'you will quarrel'	[d-ę-hs-ádat-sˀa:-ˀ]	dualic-future-you(one).a-reflexive-use.up-punctual
dędwadadrihwanǫ́hkwa:k	'we all will show respect for one another'	[d-ę-dwa-dad-rihw-a-nǫ́hkw-a-ø-:k]	dualic-future-we.all.inclusive.a-reflexive-matter-joinerA-respect-joinerA-ø.punctual-modalizer
de̲hęnadátgǫ̲he:s	'boxers'; 'they (males) are boxing'	[de̲-hęn-adát-gǫ̲he:g-s]	dualic-they(males).a-reflexive-punch-habitual
sa̲hęnada:thré:waht	'they (males) repented'	[sa̲-hęn-ada:t-hré:waht-ø]	repetitive-they(males).a-reflexive-punish-ø.punctual
awadadrí:yoˀ	'it killed itself'; 'suicide'	[a-w-adad-rí:yo-ˀ]	factual-it.a-reflexive-kill-punctual
ęhsadadrohé:gęˀ	'you will accumulate (things, ideas, etc.) for yourself'	[ę-hs-adad-rohé:g-ę-ˀ]	future-you(one).a-reflexive-gather-benefactive-punctual
ǫdadri̲hǫ́nyanih	'she is reading'	[ǫ-dad-ri̲h-ǫ́ny-a-nih]	she.a-reflexive-word-make-joinerA-benefactive.habitual
agadadwíya̲hdǫˀt	'I had an abortion'	[a-g-adad-wíy-a̲hdǫˀt-ø]	factual-I.a-reflexive-offspring-cause.to.disappear-ø.punctual
dęgaǫdagya̲ˀdáhgwaˀt	'they (females or mixed) will do push ups'	[d-ę-gaǫ-dag-ya̲ˀd-áhgwaˀt-ø]	dualic-future-they(fe/males).a-reflexive-body-lift.up-ø-punctual
hatgǫhso̲háe	'he is washing his face'	[ha-t-gǫhs-o̲háe]	he.a-semireflexive-face-wash.habitual
shagogǫ̲hsóhae	'he is washing her face'	[shago-gǫ̲hs-óhae]	he:her-face-wash.habitual
ęgáhseht	'I will hide something'	[ę-g-áhseht-ø]	future-I.a-hide-ø.punctual
dędwadęnǫ́hǫnyǫ:ˀ	'we will give thanks'	[d-ę-dw-adę-nǫ́hǫnyǫ-:ˀ]	dualic-future-we.all.inclusive.a-semireflexive-thank-punctual
ędwa:thró:wiˀ	'we will tell, narrate'	[ę-dw-a:t-hró:wi-ˀ]	future-we.all.inclusive.a-semireflexive-tell-punctual
dędwanǫ̲hǫ́:nyǫ:ˀ	'we will thank it'	[d-ę-dwa-nǫ̲hǫ́:nyǫ-:ˀ]	dualic-future-we.all.inclusive.a-thank-punctual
dęhshenǫ̲hǫ́:nyǫ:ˀ	'you will welcome, greet or thank someone'	[d-ę-hshe-nǫ̲hǫ́:nyǫ-:ˀ]	dualic-future-you:her-thank-punctual
dęgaǫdagyená:waˀs	'they (f/m) will help each other'	[d-ę-gaǫ-dag-yená:waˀs-ø]	dualic-future-they(fe/males).a-reflexive-help-ø.punctual
hadęyenáwa̲ˀseh	'he is a helper, assistant'	[h-adę-yenáwa̲ˀs-eh]	he.a-semireflexive-help-habitual
gaǫdęyenawáˀseh	'they (f/m) are helpers, assistants of hers'	[gaǫ-dę-yenawáˀs-eh]	they(fe/males).a-semireflexive-help-habitual
ęgǫyena:waˀs	'I will help you'	[ę-gǫ-yena:waˀs-ø]	future-i:you-help-ø.punctual
agaǫtgwé:niˀ	‘they won’	[a-gaǫ-t-gwé:ni-ˀ]	factual-they(fe/males).a-semireflexive-succeed-punctual
agaegwé:niˀ	‘they are or were able to do it’	[a-gae-gwé:ni-ˀ]	factual-they(fe/males).a-succeed-punctual
agaǫdatgwé:niˀ	'they beat her'	[a-gaǫ-dat-gwé:ni-ˀ]	factual-they(fe/males).a-reflexive-succeed-punctual
hadęhní:nǫh	'he is a seller or storekeeper'	[h-adę-hní:nǫ-h]	he.a-semireflexive-buy-habitual
hahní:nǫh	'he is a buyer'	[ha-hní:nǫ-h]	he.a-buy-habitual
agadekǫ́:ni:	'I am eating'	[ag-ad-e-k-ǫ́:ni-:]	I.o-semireflexive-joinerE-food-make-stative
age:kǫ́:ni:	'I am cooking’	[ag-e:-k-ǫ́:ni-:]	I.o-joinerE-food-make-stative
ga̲hǫwadíhǫh	‘a leaning boat’	[ga̲-hǫw-adíh-ǫh]	it.a-boat-side-stative
ga̲hǫ́:waˀ	‘boat’	[ga̲-hǫ́:w-aˀ]	it.a-boat-nsf
wadíhǫh	‘it is leaning’	[w-adíh-ǫh]	it.a-side-stative
niyohahú:ˀuh	‘a small road’	[ni-yo-hah-ú:ˀuh]	partitive-it.o-road-small.stative
oháhaˀ	‘road’	[o-háh-aˀ]	it.o-road-nsf
niwú:ˀuh	‘it is small’	[ni-w-ú:ˀuh]	partitive-it.a-small.stative
gayę́hsraęˀ	‘a blanket lying on the ground’	[ga-yę́hsr-a-ęˀ]	it.a-blanket-joinerA-lie.stative
gá:yęˀ	‘it is lying on the ground’	[gá:-yęˀ]	it.a-lie.stative
gayęhsraní:yǫ:t	‘a hanging blanket’	[ga-yęhsr-a-ní:yǫ:t]	it.a-blanket-joinerA-hang.stative
ganí:yǫ:t	‘it is hanging’	[ga-ní:yǫ:t]	it.a-hang.stative
gayęhsradę́hda:ˀ	‘a blanket lying spread out on the ground’	[ga-yęhsr-a-dę́hda:ˀ]	it.a-blanket-joinerA-lie.spread.out.on.ground.stative
gadę́hda:ˀ	‘it is lying spread out on the floor or the ground’	[ga-dę́hda:ˀ]	it.a-lie.spread.out.on.ground.stative
oyęhsrowá:nęh	‘a big blanket’	[o-yęhsr-owá:n-ęh]	it.o-blanket-big-stative
gowá:nęh	‘it is big’	[g-owá:n-ęh]	it.a-big-stative
oyę́hsrase:	‘a new blanket’	[o-yę́hsr-ase:]	it.o-blanket-new.stative
oyęhsragá:yǫh	‘an old blanket’	[o-yęhsr-a-gá:y-ǫh]	it.o-blanket-joinerA-old-stative
ogá:yǫh	‘it is old’	[o-gá:y-ǫh]	it.o-old-stative
oyę́hsratgiˀ	‘an ugly blanket’	[o-yę́hsr-a-tgiˀ]	it.o-blanket-joinerA-ugly.stative
otgiˀ	‘it is ugly’	[o-tgiˀ]	it.o-ugly.stative
ahawiyánę̲hsgoˀ	‘he kidnapped a child’	[a-ha-wiy-á-nę̲hsgo-ˀ]	factual-he.a-offspring-joinerA-steal-punctual
owí:yaˀ	‘offspring’	[o-wí:y-aˀ]	it.o-offspring-nsf
ęhánę̲hsgoˀ	‘he will steal’	[ę-há-nę̲hsgo-ˀ]	future-he.a-steal-punctual
ęhsadęnáˀtranǫ:t	‘we'll give you food’	[ę-hs-adę-náˀtr-a-nǫ:t-ø]	future-you(one).a-semireflexive-snack-joinerA-feed-punctual
sadę́na̲ˀtraˀ	‘your food’	[s-adę́-na̲ˀtr-aˀ]	you(one).o-semireflexive-snack-nsf
hohsíˀdatgiˀ	‘his feet are dirty’	[ho-hsíˀd-a-tgiˀ]	he.o-foot-joinerA-dirty.stative
hahsíˀdaˀgeh	‘on his foot’	[ha-hsíˀd-a̲ˀgeh]	he.a-foot-on
otgiˀ	‘it is dirty or ugly’	[o-tgiˀ]	it.o-dirty.stative
ęknóhaeˀ	‘I will wash it’	[ę-k-n-óhae-ˀ]	future-I.a-noun-wash-punctual
ęgahjo̲háeˀ	‘I will wash my hands’	[ę-g-ahj-o̲háe-ˀ]	future-I.a-hand-wash-punctual
onáˀnawę:	‘it is wet, melted, moist’	[o-náˀ-nawę:]	it.o-noun-moist.stative
ohehdaná:wę:	‘wet, moist dirt, earth’	[o-hehd-a-ná:wę:]	it.o-earth-joinerA-moist.stative
gyo̲ˀsę́ˀǫh	‘it has fallen off something’	[g-yo̲-ˀs-ę́ˀ-ǫh]	cislocative-it.o-noun-fall-stative
heyohnegę́ˀǫh	‘falling water’	[he-yo-hneg-ę́ˀ-ǫh]	translocative-it.o-water-fall-stative
dewakdo̲há:gǫh	‘I am squeezing it’	[de-wak-d-o̲há:g-ǫh]	dualic-I.o-noun-squeeze-stative
ęhsehsrǫ́:niˀ	‘you will create, make something’	[ę-hs-e-hsr-ǫ́:ni-ˀ]	future-you(one).a-joinerE-noun-make-punctual
sa̲ˀahdrǫ́:nih	‘you make baskets’	[sa̲-ˀahdr-ǫ́:ni-h]	you(one).o-basket-make-stative
gahnyo:t	‘it is standing’	[ga-hn-yo:t]	it.a-noun-stand.stative
gajísdo:t	‘a light’	[ga-jísd-o:t]	it.a-light-stand.stative
gajobtrowá:nęh	‘big job’	[ga-job-tr-owá:n-ęh]	it.a-job-big-stative
gajobtrí:yo:	‘nice job’	[ga-job-tr-í:yo:]	it.a-job-nominalizer-good.stative
aknáhsgwaęˀ	‘I have a dog’	[so:wá:s] dog [ak-náhsgw-a-ęˀ]	I.o-domestic.animal-joinerA-have.stative
sgra̲héˀda:t	‘one tree’	[s-gra̲héˀd-a:-t]	repetitive-it.tree-joinerA-stand.stative
ga̲hnih	‘it is barking’	[ga̲-hni-h]	it.a-bark-habitual
gadá:węh	‘I am swimming’	[g-ad-á:wę-h]	it.a-semireflexive-swim-habitual
saˀé:yǫˀ	‘she returned’	[s-aˀ-é:-yǫ-ˀ]	repetitive-factual-she.a-arrive-punctual
haˀgáhge:t	‘I stopped by there’	[haˀ-g-áhge:t-ø]	translocative-I.a-stop.in-ø.punctual
agiˀ	‘I said’	[a-g-i-ˀ]	factual-I.a-say-punctual
agatgǫ̲hsóhaeˀ	‘I washed my face’	[a-g-at-gǫ̲hs-óhae-ˀ]	factual-I.a-semireflexive-face-wash-punctual
gegǫ́hsa̲ˀgeh	‘on my face’	[g-e-gǫ́hs-a̲ˀgeh]	I.a-joinerE-face-on
agatnu̲ˀtsóhaeˀ	‘I brushed my teeth’	[a-g-at-nu̲ˀts-óhae-ˀ]	factual-I.a-semireflexive-tooth-wash-punctual
knuˀtsáˀgeh	‘on my teeth’	[k-nuˀts-áˀgeh]	I.a-tooth-on
agęhsi̲ˀdóhaeˀ	‘I washed my feet’	[a-g-ęhsi̲ˀd-óhae-ˀ]	factual-I.a-foot-wash-punctual
gę̲hsíˀda̲ˀgeh	‘on my foot’	[g-ę̲hsíˀd-a̲ˀgeh]	I.a-foot-on
agǫ́ya̲hsha:ˀ	‘I thought of you’	[í:hs] you [a-gǫ́y-a̲hsha:-ˀ]	factual-i:you-remember-punctual
ętsadadáhshagwęˀ	‘you will remind yourself, make yourself remember’	[ę-t-s-adad-áhshagw-ę-ˀ]	future-cislocative-you(one).a-reflexive-remember-benefactive-punctual
ęhéhsnǫdręˀ	‘you will follow him’	[ę-héhs-hnǫdrę-ˀ]	future-you:him-follow-punctual
oˀgráęˀ	‘snow lying there’; ‘fallen snow’	[o-ˀgr-á-ęˀ]	it.o-snow-lie.stative
oˀgraˀ	‘snow’	[o-ˀgr-aˀ]	it.o-snow-nsf
nigá:yęˀ	‘where it is lying’	[ni-gá:-yęˀ]	partitive-it.a-lie.stative
gayęhsradę́hda:ˀ	‘blanket lying spread out’	[ga-yęhsr-a-dę́hda:ˀ]	it.a-blanket-joinerA-lie.spread.out.on.ground.stative
gayę́hsraˀ	‘blanket’	[ga-yę́hsr-aˀ]	it.a-blanket-nsf
gadę́hda:ˀ	‘it is lying spread out’	[ga-dę́hda:ˀ]	it.a-lie.spread.out.on.ground.stative
ohǫna̲ˀdáhsi̲ha:ˀ	‘potatoes standing in a group’	[o-hǫna̲ˀd-á-hsi̲ha:ˀ]	it.o-potato-joinerA-stand.in.group.stative
ohǫ́na̲ˀdaˀ	‘potato’	[o-hǫ́na̲ˀd-aˀ]	it.o-potato-nsf
gáehsi̲ha:ˀ	‘they (females or mixed) are standing in a group or clump’	[gáe-hsi̲ha:ˀ]	they(fe/males).a-stand.in.a.group.stative
ohyajiwá:gę:	‘tart, sour fruit’	[o-hy-a-jiwá:gę:]	it.o-fruit-joinerA-sour.stative
ojíwagę:	‘it is sour, salty, bitter’	[o-jíwagę:]	it.o-sour.stative
ohyága̲ˀǫh	‘good-tasting fruit’	[o-hy-á-ga̲ˀ-ǫh]	it.o-fruit-joinerA-good.tasting-stative
ogáˀǫh	‘it tastes good’	[o-gáˀ-ǫh]	it.o-good.tasting-stative
ohyówanęh	‘big fruit’	[o-hy-ówan-ęh]	it.o-fruit-big-stative
gagówanęh	‘it is big’	[ga-gówan-ęh]	it.a-big-stative
niyohyú:ˀuh	‘small fruit’	[ni-yo-hy-ú:ˀuh]	partitive-it.o-fruit-small.stative
niwú:ˀuh	‘how small it is’	[ni-w-ú:ˀuh]	partitive-it.a-small.stative
wahyaniyǫ́:taˀ	‘hanging fruit’	[w-ahy-a-niyǫ́:t-haˀ]	it.a-fruit-joinerA-hang-habitual
ganí:yǫ:t	‘it is hanging’	[ga-ní:yǫ:t]	it.a-hang.stative
ohyá:jih	‘dark fruit’	[o-hy-á:-jih]	it.o-fruit-joinerA-dark.stative
ga̲hǫ́ˀjih	‘it is dark’	[ga̲-hǫ́ˀ-jih]	it.a-noun-dark.stative
otgę:	‘it is spoiled, rotten’	[o-tgę:]	it.o-rotten.stative
ohyáih	‘ripe fruit’	[o-hy-á-ih]	it.o-fruit-joinerA-ripe.stative
ęwáhyaiˀ	‘it will ripen’	[ę-w-áhy-a-i-ˀ]	future-it.a-fruit-joinerA-ripen-punctual
agǫgwe̲ˀdí:yo:	‘nice person’	[ag-ǫgwe̲ˀd-í:yo:]	she.o-person-nice.stative
gaihoˀdęhsrí:yo:	‘nice work’	[ga-ihoˀdęhsr-í:yo:]	it.a-work-nice.stative
ga̲há:do:t	‘a forest’	[ga̲-há:d-o:t]	it.a-forest-stand.stative
odrǫ́hyo:t	‘sunbeam, ray of light, sunshine’	[o-drǫ́hy-o:t]	it.o-ray.of.light-stand.stative
agatgǫ̲hsóhaeˀ	‘I washed my face’	[a-g-at-gǫ̲hs-óhae-ˀ]	factual-I.a-semireflexive-face-wash-punctual
agęhsi̲ˀdóhaeˀ	‘I washed my feet’	[a-g-ęhsi̲ˀd-óhae-ˀ]	factual-I.a-foot-wash-punctual
honadahsehdǫ̲hǫ́:gyeˀs	‘they (m) are sneaking around’	[hon-ad-ahsehd-ǫ̲h-ǫ́:gy-e-ˀs]	they(males).o-semireflexive-hide-stative-progressive-go-habitual.
otgę́ˀseht	'it is nice to see, interesting'	[o-t-gę-ˀse-ht]	it.o-semireflexive-see-plural-causative
hoˀdaiháˀseh	'he is too hot'	[ho-ˀdaih-áˀse-h]	he.o-hot-plural-habitual
dewagadawęnyáˀseh	'I amconfused and doubtful'	[de-wag-ad-awęny-áˀse-h]	dualic-I.o-semireflexive-stir,mix-pluralizer-habitual
deyagodawęnyeˀ	‘she is walking about’	[de-yago-d-awęny-eˀ]	dualic-she.a-stir,mix-stative
gaǫdagyenawáˀseh	'they (females or mixed) help her'	[gaǫ-dag-yenaw-áˀse-h]	they(f/m).reflexive.catch.plural-habitual
agaǫda:gyé:na:ˀ	'they (females or mixed) caught her'	[a-gaǫ-da:g-yé:na:-ˀ]	factual-they(f/m)-reflexive-catch-punctual
a:gakeyatgę́ˀse:ˀ	'I should watch them'	[a:-gakey-at-gę́-ˀse-:ˀ]	indefinite-I:them-semireflexive-see-plural-punctual
haˀǫ́tgę̲ˀse:ˀ	'she is watching over there'	[haˀ-ǫ́-t-gę̲-ˀse-:ˀ]	there-she.a-see-plural-punctual
hahę́:dǫ:	'he is the front, the leader'	[ha-hę́:dǫ-:]	he.a-lead-stative
ęhsáhsha̲ˀse:k	'you will remember'	[ę-hs-áhsha-ˀse-:k]	future-you(one).o-remember-pluralizer-modalizer
ęgagyǫ̲ˀséhaˀ	'I am going to go and visit'	[ę-g-ag-yǫ̲-ˀsé-h-aˀ]	future-I.a-semireflexive-arrive-plural-dislocative-punctual
agagyǫ̲ˀséhe-ˀ	'I am going to go visit'	[ę-g-ag-yǫ̲-ˀsé-h-e-ˀ]	future-I.a-semireflexive-arrive-plural-dislocative-go-punctual
tsǫ:	'he is a live-in'	[ho-g-yǫ-ˀsé-:]	he.o-semireflexive-arrive-plural-stative
agatowínyǫ̲ˀse:	‘I have a cold’	[ag-atow-inyǫ-ˀse-:]	I.o-cold-distributive-pluralizer-stative
adwagagyáǫnyǫˀs	‘I had a vision’; ‘I got spooked’	[ad-wag-ag-ya-ǫ-nyǫ-ˀs]	factual.dualic-I.o-semireflexive-otherness-distributive-distributive-pluralizer
ohona̲ˀdí:yoˀs	'nice potatoes'	[o-hona̲ˀd-í:yo-ˀs]	it.o-potato-good.stative-pluralizer
ohona̲ˀdí:yo:	'nice potato'	[o-hona̲ˀd-í:yo:]	it.o-potato-good.stative
ohǫna̲ˀdówanęˀs	'big potatoes'	[o-hǫna̲ˀd-ówan-ę-ˀs]	it.o-potato-big-stative-pluralizer
ohǫna̲ˀdówanęh	'big potato'	[o-hǫna̲ˀd-ówan-ęh]	it.o-potato-big-stative
ga̲ˀdrehdowá:nęˀs	'big cars'	[ga̲-ˀdrehd-owá:n-ę-ˀs]	it.a-car-big-stative-pluralizer
ga̲ˀdrehdowá:nęh	'big car'	[ga̲-ˀdrehd-owá:n-ęh]	it.a-car-big-stative
ęgahnegowanę́ˀse:k	‘there will be big bodies of water’	[ę-ga-hneg-owanę́-ˀs-e:k]	future-it.a-water-big-pluralizer-ø.punctual.modalizer
ní:waˀs	'sizes’, 'how big they are'	[shęh] that [ní:-w-aˀs]	partitive-it.a-size.stative-pluralizer
ní:waˀ	'it is of a certain size, age'	[ní:-w-aˀ]	partitive-it.a-size.stative
nigaęnóˀdęˀs	‘blues music'	[oˀnigǫ̲hsadǫ̲hkgéha:ˀ] sad.kind [ni-ga-ęn-óˀdę-ˀs]	partitive-it.o-song-type.of.stative-pluralizer
nigaęnóˀdę:	'a type of song'	[ni-ga-ęn-óˀdę:]	partitive-it.a-song-type.of.stative
ní:yoht	'how, in what manner'	[shęh] that [ní:-yo-ht]	partitive-it.o-resemble.stative
nigehsinú:sˀuh	'I have two small legs'	[ni-g-e-hsin-ú:-s-ˀuh]	partitive-I.a-joinerE-leg-small-plural-diminutive
nigehsinú:ˀuh	'I have a small leg'	[ni-g-e-hsin-u:-ˀuh]	partitive-I.a-joinerE-leg-small-diminutive
ageˀdre̲hdáędǫˀ	'I have several cars'	[ag-e-ˀdre̲hd-á-ęd-ǫˀ]	I.o-joinerE-car-joinerA-lie.stative-distributive-stative
ageˀdre̲hdáęˀ	'I have a car'	[ag-e-ˀdre̲hd-á-ęˀ]	I.o-joinerE-car-joinerA-lie.stative
aknǫhsó:dǫˀ	'I have several houses'	[ak-nǫhs-ó:d-ǫˀ]	I.o-house-stand.stative-distributive-stative
aknǫ́hso:t	'I have a house'	[ak-nǫ́hs-o:t]	I.o-house-stand.stative
Gani:yǫ́:dǫˀ	'name of the white dog who went to heaven'	[ga-ni:yǫ́:d-ǫˀ]	it.a-hang.stative-distributive-stative
ganí:yǫ:t	'it is hanging'	[ga-ní:yǫ:t]	it.a-hang.stative
ohnawáodǫnyǫˀ	'springs'	[o-hnaw-á-od-ǫ-nyǫˀ]	it.o-rapids-joinerA-stand.stative-distributive-distributive-stative
ohnáwaot	'well, spring'	[o-hnáw-a-ot]	it.o-rapids-joinerA-stand.stative
dwakdǫ́:nyǫ:	'let's examine'	[dwa-kdǫ́:-nyǫ-:-ø]	we.all-look.at-distributive-modalizer-no.aspect
dwakdǫ:	'let us look’	[dwa-kdǫ:-ø]	we.all-look.at-no.aspect
ga̲háˀdǫ̲hnǫˀ	'a clothesline (several objects drying)’	[ga̲-háˀd-ǫ̲-hnǫˀ]	it.a-dry-stative-distributive-stative
hoyę́twa̲hsǫˀ	'he planted several things, a variety of things'	[ho-yę́tw-a̲-hsǫ-ˀ]	he.o-plant-joinerA-distributive-stative
hoyę́:twęh	'he has planted'	[ho-yę́:tw-ęh]	he.o-plant-stative
shǫgwaęnáwi̲hsǫˀ	'he has given us songs'	[shǫgwa-ęn-áwi̲-h-sǫˀ]	he:us-song-give-distributive-stative
shǫgwaęná:wih	'he has given all of us songs'	[agwe:gǫ́h] all [shǫgwa-ęn-á:wi-h]	he:us-song-give-stative
ędwana̲ˀdá:ksǫ:ˀ	'we will have a snack'	[ę-dwa-na̲ˀdá:-k-sǫ-:-ˀ]	future-we.all.inclusive.a-bread-eat-distributive-modalizer-punctual
deswatnętsáˀdrǫˀ	'you all have your arms crossed'	[de-sw-at-nęts-á-ˀ-drǫˀ]	dualic-you(all).o-semireflexive-arm-joinerA-noun.stem.former-distributive.stative
degaǫdę́hnǫdrǫˀ	'they are sisters'	[de-gaǫ-dę́-hnǫd-rǫˀ]	dualic-they(fe/males).a-semireflexive-follow-distributive.stative
degadęhnǫ́:de:ˀ	'my brother or sister'	[de-g-adę-hnǫ́:d-e-:-ˀ]	dualic-I.a-semireflexive-follow-go-purposive-stative
de̲hęnadę́hnǫdrǫˀ	'they are brothers'	[de̲-hęn-adę́-hnǫd-rǫˀ]	dualic-they(males).a-semireflexive-follow-distributive.stative
ęgrihwané:ˀa:k	'I will sin'	[ę-g-rihw-a-né:ˀa:k-ø]	future-I.a-matter-joinerA-sin-ø.punctual
desahjiyóhsrǫ:	'you really scratch!'	[de-s-ahj-iyó-hsrǫ-:-ø]	dualic-you(one).a-hand-good-distributive-modalizer-no.aspect
desahjí:yo:	'you scratch!'	[de-s-ahj-í:yo:]	dualic-you(one).a-hand-good.stative
otgiˀ	‘it is dirty’	[o-tgi-ˀ]	it.o-dirty-stative
ęhsé:tgiht	‘you will dirty it up’, ‘you will cause it to be dirty’	[ę-hs-e-tgi-hd-ø]	future-you(one).a-joinerE-dirty-cause-ø.punctual
gadenya̲ˀgwáhthaˀ	'I make or cause myself to vomit’; ‘I ambulemic'	[g-ad-e-nya̲ˀgw-á-ht-haˀ]	I.a-semireflexive-joinerE-vomit-joinerA-causative-habitual
agénya̲ˀgwahs	'I ama vomiter, I vomit all the time'	[ag-é-nya̲ˀgw-a-hs]	I.o-joinerE-vomit-joinerA-habitual
aˀóhdaˀ	'it got full'	[aˀ-ó-hd-aˀ]	factual-it.o-fill.up-punctual
ǫknéhagoˀ	'I was amazed'	[ǫk-néhago-ˀ]	factual.I.o-amazed-punctual
hahsgá:ne:s	'he has longings for'	[ha-hsgá:ne:-s]	he.a-long.for-habitual
hodrihwatgíhdǫh	'he is talking dirty’, ‘he is making dirty words'	[ho-d-rihw-a-tgí-hd-ǫh]	he.o-semireflexive-matter-joinerA-ugly-causative-stative
oíhwatgiˀ	'dirty language'	[o-íhw-a-tgi-ˀ]	it.o-matter-joinerA-ugly-stative
haˀwá:tsˀa:ˀ	'it went down to nothing'	[h-aˀ-w-á:tsˀ-a-:ˀ]	translocative-factual-it.a-use.up-joinerA-punctual
ęknǫ́ˀge̲haˀ	'I will drink milk'	[ę-k-nǫ́ˀg-e̲h-aˀ]	future-I.a-milk-drink-punctual
shegę́hęnih	'you abuse people’, ‘you are mean to someone'	[she-gę́hę-ni-h]	you:her-mean-benefactive-habitual
ęhsáhdo:k	'you will grow'	[ę-hs-áhdo:k-ø]	future-you(one).a-mature-ø.punctual
sagáeyǫˀ	'they returned'	[s-a-gáe-yǫ-ˀ]	repetitive-factual-they(fe/males).a-arrive-punctual
ohéhdatę:	'dry dirt'	[o-héhd-a-t-ę:]	it.o-earth-joinerA-dry-stative
agatsęnǫ́:ni:	'I amhappy'	[ag-atsęnǫ́:ni-:]	I.o-happy-stative
degaihwágenhęh	'there is an argument'	[de-ga-ihw-á-genh-ęh]	dualic-it.a-matter-joinerA-argue-stative
ohwę́jadeˀ	'existing earth'	[o-hwęj-a-deˀ]	it.o-earth-joinerA-exist.stative
age:kǫ́:niˀ	'I cooked a meal'	[a-g-e:-k-ǫ́:ni-ˀ]	factual-I.a-joinerE-food-make-punctual
ahékǫnyęˀ	'I cooked a meal for him'	[a-hé-k-ǫny-ę-ˀ]	factual-i:him-food-make-benefactive-punctual
